episode,epsilon,total_reward
0.0,0.35,-10.0
1.0,0.34989996665555184,7.0
2.0,0.3497999333111037,8.0
3.0,0.3496998999666555,8.0
4.0,0.3495998666222074,-8.0
5.0,0.34949983327775924,-8.0
6.0,0.3493997999333111,-8.0
7.0,0.3492997665888629,10.0
8.0,0.3491997332444148,-8.0
9.0,0.34909969989996664,10.0
10.0,0.3489996665555185,-8.0
11.0,0.3488996332110703,-8.0
12.0,0.3487995998666222,10.0
13.0,0.34869956652217404,-8.0
14.0,0.3485995331777259,-9.0
15.0,0.3484994998332777,-8.0
16.0,0.3483994664888296,-3.0
17.0,0.34829943314438144,-10.0
18.0,0.3481993997999333,8.0
19.0,0.3480993664554851,7.0
20.0,0.347999333111037,8.0
21.0,0.34789929976658884,8.0
22.0,0.3477992664221407,-10.0
23.0,0.3476992330776925,-8.0
24.0,0.3475991997332444,-9.0
25.0,0.34749916638879624,-4.0
26.0,0.3473991330443481,-11.0
27.0,0.3472990996998999,8.0
28.0,0.3471990663554518,-3.0
29.0,0.34709903301100364,-8.0
30.0,0.3469989996665555,-8.0
31.0,0.3468989663221073,7.0
32.0,0.34679893297765924,8.0
33.0,0.34669889963321104,-10.0
34.0,0.3465988662887629,-9.0
35.0,0.3464988329443147,7.0
36.0,0.34639879959986664,-3.0
37.0,0.34629876625541844,-8.0
38.0,0.3461987329109703,-8.0
39.0,0.3460986995665221,9.0
40.0,0.34599866622207404,-10.0
41.0,0.34589863287762584,-3.0
42.0,0.3457985995331777,-9.0
43.0,0.3456985661887295,-9.0
44.0,0.34559853284428144,-9.0
45.0,0.34549849949983324,7.0
46.0,0.3453984661553851,-10.0
47.0,0.345298432810937,-8.0
48.0,0.34519839946648884,-9.0
49.0,0.34509836612204065,-8.0
50.0,0.3449983327775925,-8.0
51.0,0.3448982994331444,10.0
52.0,0.34479826608869624,-9.0
53.0,0.34469823274424805,9.0
54.0,0.3445981993997999,-9.0
55.0,0.3444981660553518,-4.0
56.0,0.34439813271090364,-4.0
57.0,0.34429809936645545,-8.0
58.0,0.3441980660220073,-9.0
59.0,0.3440980326775592,-9.0
60.0,0.34399799933311104,9.0
61.0,0.34389796598866285,-8.0
62.0,0.3437979326442147,8.0
63.0,0.3436978992997666,9.0
64.0,0.34359786595531844,-9.0
65.0,0.34349783261087025,-9.0
66.0,0.3433977992664221,-8.0
67.0,0.343297765921974,-11.0
68.0,0.34319773257752584,7.0
69.0,0.34309769923307765,-4.0
70.0,0.3429976658886295,-9.0
71.0,0.3428976325441814,-4.0
72.0,0.34279759919973324,9.0
73.0,0.34269756585528505,-11.0
74.0,0.3425975325108369,-10.0
75.0,0.3424974991663888,-3.0
76.0,0.34239746582194064,-9.0
77.0,0.3422974324774925,-9.0
78.0,0.3421973991330443,-9.0
79.0,0.3420973657885962,-9.0
80.0,0.34199733244414804,-9.0
81.0,0.3418972990996999,-4.0
82.0,0.3417972657552517,-3.0
83.0,0.3416972324108036,7.0
84.0,0.34159719906635544,-8.0
85.0,0.3414971657219073,9.0
86.0,0.3413971323774591,-9.0
87.0,0.341297099033011,-9.0
